descriptor,difficulty,total correct,total incorrect,unique correct,unique incorrect
Determine volume from given information.,M,4,6,4,6
Estimate and measure an object using U.S. Customary units.,H,3,4,3,4
Estimate and measure an object using U.S. Customary units.,M,15,35,15,34
Identify a variable in an open sentence.,L,0,1,0,1
Identify an appropriate unit of measure for a given situation.,H,3,3,3,3
Identify an appropriate unit of measure for a given situation.,L,2,5,2,5
Identify an appropriate unit of measure for a given situation.,M,32,19,32,18
Identify equivalent measurements within the metric system.,H,5,12,5,12
Identify equivalent measurements within the metric system.,M,16,22,16,20
Identify odd and even numbers.,L,2,2,2,2
Identify odd and even numbers.,M,2,3,2,3
Identify prime and composite numbers.,H,12,7,12,7
Identify prime and composite numbers.,L,3,0,3,0
Identify prime and composite numbers.,M,65,12,64,12
Identify the parts of a circle.,H,2,1,2,1
Identify the parts of a circle.,L,67,9,64,9
Identify triangles; squares; rectangles; parallelograms; rhombi; and trapezoids using attributes.,H,4,25,4,25
Identify triangles; squares; rectangles; parallelograms; rhombi; and trapezoids using attributes.,L,3,1,3,1
Identify triangles; squares; rectangles; parallelograms; rhombi; and trapezoids using attributes.,M,27,25,26,24
Identify; describe; and extend numerical patterns.,L,76,24,66,8
Identify; describe; and extend numerical patterns.,M,66,63,54,34
Interpret information represented in a line graph.,H,6,15,6,15
Interpret information represented in a line graph.,L,5,5,5,3
Interpret information represented in a line graph.,M,13,8,13,8
Model a one-step linear equation.,L,15,6,12,5
Model a one-step linear equation.,M,62,32,58,26
Recognize the application of the distributive property.,H,1,2,1,2
Recognize the application of the distributive property.,L,1,0,1,0
Recognize the application of the distributive property.,M,60,28,59,28
Round decimal numbers.,L,95,11,89,8
Round decimal numbers.,M,1,0,1,0
Solve elapsed time problems; including start time; end time; and elapsed time over a 24 hour period.,L,2,1,2,1
Solve elapsed time problems; including start time; end time; and elapsed time over a 24 hour period.,M,19,17,19,17
Use a data set to construct a stem-and-leaf plot or interpret information represented in a stem-and-leaf plot.,L,5,7,5,7
Use a data set to construct a stem-and-leaf plot or interpret information represented in a stem-and-leaf plot.,M,23,31,23,31
Use an open sentence to represent a practical problem situation.,H,5,0,5,0
Use an open sentence to represent a practical problem situation.,L,6,9,6,4
Use an open sentence to represent a practical problem situation.,M,52,63,47,42
‡ Compare and order fractions and decimals.,L,2,0,2,0
‡ Compare and order fractions and decimals.,M,60,36,60,33
‡ Evaluate single-step expressions involving addition; subtraction; multiplication; or division of decimals.,L,31,5,28,5
‡ Evaluate single-step expressions involving addition; subtraction; multiplication; or division of decimals.,M,62,13,61,11
‡ Identify the operation or step used while applying the order of operations to whole number numerical expressions.,H,13,5,13,5
‡ Identify the operation or step used while applying the order of operations to whole number numerical expressions.,L,16,1,15,1
‡ Identify the operation or step used while applying the order of operations to whole number numerical expressions.,M,43,14,43,14
‡ Represent equivalent relationships between decimals and fractions.,L,6,4,6,2
‡ Represent equivalent relationships between decimals and fractions.,M,75,21,74,19
‡ Simplify whole number numerical expressions using the order of operations.,L,23,6,21,5
‡ Simplify whole number numerical expressions using the order of operations.,M,71,14,64,14
‡ Solve multistep practical problems involving addition; subtraction; multiplication; or division of decimals.,L,10,5,10,4
‡ Solve multistep practical problems involving addition; subtraction; multiplication; or division of decimals.,M,53,46,50,35
‡ Solve multistep practical problems involving addition; subtraction; multiplication; or division of whole numbers.,H,7,13,7,13
‡ Solve multistep practical problems involving addition; subtraction; multiplication; or division of whole numbers.,L,13,11,13,10
‡ Solve multistep practical problems involving addition; subtraction; multiplication; or division of whole numbers.,M,27,17,27,16
‡ Solve multistep practical problems involving fractions and mixed numbers.,H,16,9,16,9
‡ Solve multistep practical problems involving fractions and mixed numbers.,L,11,4,11,4
‡ Solve multistep practical problems involving fractions and mixed numbers.,M,60,54,47,28
‡ Solve single-step practical problems involving addition; subtraction; multiplication; or division of decimals.,L,89,14,88,10
‡ Solve single-step practical problems involving addition; subtraction; multiplication; or division of whole numbers.,L,22,0,22,0
‡ Solve single-step practical problems involving fractions and mixed numbers.,L,38,6,36,6
‡ Solve single-step practical problems involving fractions and mixed numbers.,M,52,24,52,22
