descriptor,difficulty,total correct,total incorrect,unique correct,unique incorrect
‡ Solve addition or subtraction problems with decimals.,M,19,16,19,15
‡ Solve addition or subtraction problems with fractions.,L,15,10,14,8
‡ Solve addition or subtraction problems with fractions.,M,14,17,13,16
‡ Solve addition problems with whole numbers.,L,3,3,3,3
‡ Solve multistep practical problems involving whole numbers.,L,37,22,33,16
‡ Solve multistep practical problems involving whole numbers.,M,75,53,56,29
‡ Solve practical problems involving addition and subtraction of decimals.,H,3,5,3,5
‡ Solve practical problems involving addition and subtraction of decimals.,L,24,12,24,12
‡ Solve practical problems involving addition and subtraction of decimals.,M,42,58,35,43
‡ Solve practical problems involving addition and subtraction of fractions.,M,12,36,11,35
‡ Solve practical problems involving addition of two or more decimals.,L,8,3,8,3
‡ Solve practical problems involving addition of two or more decimals.,M,2,4,2,4
‡ Solve practical problems involving addition of two or more whole numbers.,L,1,1,1,1
‡ Solve practical problems involving multiplication of whole numbers.,L,1,0,1,0
‡ Solve practical problems involving subtraction of decimals.,L,32,11,32,11
‡ Solve practical problems involving subtraction of fractions.,M,6,5,6,5
‡ Solve practical problems involving subtraction of whole numbers.,L,1,0,1,0
‡ Solve practical problems involving subtraction of whole numbers.,M,1,0,1,0
‡ Solve practical problems involving the addition of two or more fractions.,L,31,7,30,6
‡ Solve practical problems involving the addition of two or more fractions.,M,2,2,2,2
‡ Solve problems involving division of whole numbers.,H,3,1,3,1
‡ Solve problems involving division of whole numbers.,L,60,18,55,13
‡ Solve problems involving division of whole numbers.,M,30,18,28,17
‡ Solve problems with whole numbers involving more than one operation.,L,0,3,0,3
‡ Solve subtraction problems with whole numbers.,L,10,2,10,2
